vote_intention,age,sex,education,income,party_id,party_id_str,party_id_imp,ideology,feeling_democrat,feeling_republican,political_knowledge_intro,political_knowledge_catch1,political_knowledge_catch_feedback,political_knowledge_senate_term,political_knowledge_least_spending,political_knowledge_house_majority,political_knowledge_senate_majority,political_interest,follow_politics_media,understand_issues
1,65,1,3,2,1,1,2,2,85,0,1,1985,-1,1,0,1,1,2,1,2
1,34,0,4,10,3,3,5,2,70,0,1,1990,-1,0,0,1,1,2,3,2
1,60,1,5,10,3,3,5,4,85,0,1,1960,-1,1,1,1,1,1,2,2
1,66,1,3,13,2,6,5,4,60,30,1,1954,-1,1,1,1,1,1,1,2
1,51,0,5,18,1,2,5,4,70,60,1,1980,-1,0,1,1,0,2,2,4
1,44,0,2,11,1,1,5,4,80,40,1,1940,-1,0,0,1,1,3,3,4
1,60,0,5,15,1,1,4,4,70,15,1,1960,-1,0,1,1,1,2,2,2
2,53,1,3,19,2,7,3,6,0,85,2,1896,1,1,1,1,1,2,2,2
1,37,0,4,18,1,1,3,2,70,15,1,1974,-1,1,0,1,1,2,2,2
1,46,0,3,7,1,2,5,2,75,50,1,1960,-1,0,0,0,1,3,4,3
1,63,0,1,15,3,4,1,3,70,60,2,1996,-1,0,0,1,0,1,1,1
1,29,1,4,3,1,1,4,2,77,40,1,2000,-1,0,1,0,1,2,4,5
2,79,0,4,14,2,7,1,7,0,70,1,1930,-1,1,0,1,1,1,1,1
2,31,0,3,1,1,1,5,4,50,50,1,1984,-1,0,0,1,1,2,3,5
1,64,0,4,11,1,1,4,2,95,0,1,1850,-1,1,1,1,1,1,1,2
1,60,1,5,17,1,1,3,4,85,30,1,1968,-1,0,0,0,1,3,3,3
1,66,0,5,12,1,1,1,2,100,0,1,1972,-1,0,0,0,1,2,2,2
2,59,0,3,5,2,6,3,6,0,60,1,1970,-1,0,0,0,1,2,2,2
2,72,1,5,2,2,7,2,7,0,85,1,1953,-1,1,1,1,1,1,1,1
1,68,1,4,1,3,3,1,1,75,0,1,1950,-1,0,1,1,1,1,1,5
1,62,0,4,18,1,1,1,2,85,0,1,1979,-1,1,0,1,1,1,1,1
1,29,0,3,8,1,1,3,2,95,25,1,1980,-1,0,1,0,0,2,2,2
2,69,0,5,17,3,5,2,6,0,70,1,1955,-1,0,0,1,1,2,2,1
2,47,0,3,14,2,7,3,5,15,70,1,1980,-1,1,0,1,1,1,2,2
2,53,0,4,11,2,7,2,4,40,85,1,1980,-1,0,0,0,0,3,2,2
2,62,0,4,6,2,7,2,7,0,70,1,1950,-1,1,0,1,1,2,3,2
2,57,0,4,20,2,6,4,4,40,85,1,1972,-1,1,0,1,1,2,2,2
2,39,1,3,5,3,4,1,3,50,50,1,1995,-1,1,0,1,1,1,1,2
1,55,0,5,15,1,1,1,2,100,15,1,1896,2,1,0,1,1,2,2,2
2,67,0,3,13,2,7,5,7,0,100,1,1950,-1,1,1,0,1,2,2,2
2,58,1,4,22,3,5,1,6,0,70,1,1962,-1,0,1,1,1,2,2,2
2,67,1,4,11,2,7,3,6,15,60,1,1850,-1,1,0,1,1,3,3,3
1,25,1,4,13,1,2,5,2,75,0,1,1975,-1,1,1,1,1,1,1,1
1,73,0,5,6,1,2,5,2,40,15,1,1965,-1,0,1,1,1,3,3,2
2,51,1,5,19,3,5,2,6,1,51,1,1969,-1,1,0,1,1,3,3,2
1,59,1,3,20,1,1,1,2,70,30,1,1971,-1,1,0,1,1,1,1,1
